test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name,duration_seconds
s1_IP,4598,90490,276,90490,0,4322,0,0,0,None,68.12919068336487
s1_domain,4598,90490,42,89790,700,4556,0,0,0,None,102.41103076934814
s1_file,4598,90490,4550,90490,0,48,0,0,0,None,77.26955986022949
s2_IP,15073,382953,170,382953,0,14903,0,0,0,None,64.13824796676636
s2_domain,15073,382953,26,375081,7872,15047,0,0,0,None,105.02623224258423
s2_file,15073,382953,15032,382952,1,41,0,0,0,None,81.95910143852234
s3_IP,5165,123164,1178,123164,0,3987,0,0,0,None,67.45754671096802
s3_domain,5165,123164,6,122099,1065,5159,0,0,0,None,104.46323990821838
s3_file,5165,123164,3954,123164,0,1211,0,0,0,None,77.82399439811707
s4_IP,18062,107551,390,107551,0,17672,0,0,0,None,63.783371686935425
s4_domain,18062,107551,11,106564,987,18051,0,0,0,None,104.38060474395752
s4_file,18062,107551,17831,107551,0,231,0,0,0,None,80.08698558807373
optc1_C1,37059,1288225,0,1288225,0,37059,0,0,0,None,89.67259645462036
optc1_C2,37059,1288225,0,1288225,0,37059,0,0,0,None,63.01435828208923
optc1_C3,37059,1288225,0,1288225,0,37059,0,0,0,None,65.86375498771667
optc2_C1,36588,2792941,0,2792941,0,36588,0,0,0,None,86.17770171165466
optc2_C2,36588,2792941,0,2792941,0,36588,0,0,0,None,64.38131999969482
optc2_C3,36588,2792941,0,2792941,0,36588,0,0,0,None,95.14528608322144
optc3_C1,8452,1155092,0,1155092,0,8452,0,0,0,None,64.26797938346863
optc3_C2,8452,1155092,0,1155092,0,8452,0,0,0,None,12315.087095022202
optc3_C3,8452,1155092,0,1155092,0,8452,0,0,0,None,57.91074538230896
