test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name,duration_seconds
s1_IP,4598,90490,276,90490,0,4322,0,0,0,None,64.69575023651123
s1_domain,4598,90490,42,89790,700,4556,0,0,0,None,106.29366254806519
s1_file,4598,90490,4550,90490,0,48,0,0,0,None,76.89264917373657
s2_IP,15073,382953,170,382953,0,14903,0,0,0,None,65.56383037567139
s2_domain,15073,382953,26,375081,7872,15047,0,0,0,None,104.45826888084412
s2_file,15073,382953,15032,382952,1,41,0,0,0,None,78.00479912757874
s3_IP,5165,123164,1178,123164,0,3987,0,0,0,None,64.97004699707031
s3_domain,5165,123164,6,122099,1065,5159,0,0,0,None,106.88748383522034
s3_file,5165,123164,3954,123164,0,1211,0,0,0,None,77.38372802734375
s4_IP,18062,107551,390,107551,0,17672,0,0,0,None,63.906519651412964
s4_domain,18062,107551,11,106564,987,18051,0,0,0,None,106.20326781272888
s4_file,18062,107551,17831,107551,0,231,0,0,0,None,82.4646635055542
optc1_C1,37059,1288225,0,1288225,0,37059,0,0,0,None,92.66599917411804
optc1_C2,37059,1288225,0,1288225,0,37059,0,0,0,None,61.809932470321655
optc1_C3,37059,1288225,0,1288225,0,37059,0,0,0,None,66.37356996536255
optc2_C1,36588,2792941,0,2792941,0,36588,0,0,0,None,89.33062696456909
optc2_C2,36588,2792941,0,2792941,0,36588,0,0,0,None,65.1743631362915
optc2_C3,36588,2792941,0,2792941,0,36588,0,0,0,None,96.34211850166321
optc3_C1,8452,1155092,0,1155092,0,8452,0,0,0,None,71.6842269897461
optc3_C2,8452,1155092,5639,1155092,0,2813,0,0,0,None,13593.895790576935
optc3_C3,8452,1155092,0,1155092,0,8452,0,0,0,None,59.03600311279297
